month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2020-06,B DIVISION,Q,1,6391,6929,0.922355318
2020-06,B DIVISION,Q,2,1877,2176,0.862591912
2020-06,B DIVISION,R,1,5540,6159,0.899496672
2020-06,B DIVISION,R,2,1463,1728,0.846643519
2020-06,B DIVISION,S Fkln,1,5162,5192,0.99422188
2020-06,B DIVISION,S Fkln,2,1695,1696,0.999410377
2020-06,B DIVISION,S Rock,2,1178,1185,0.994092827
2020-06,B DIVISION,S Rock,1,3409,3471,0.982137712
2020-06,Systemwide,Systemwide,1,143479,155208,0.924430442
2020-06,Systemwide,Systemwide,2,37193,40954,0.908165259
2020-05,A DIVISION,1,2,3068,3194,0.960551033
2020-05,A DIVISION,1,1,6027,6200,0.972096774
2020-05,A DIVISION,2,1,5998,6480,0.925617284
2020-05,A DIVISION,2,2,2316,2866,0.808094906
2020-05,A DIVISION,3,1,5369,5732,0.936671319
2020-05,A DIVISION,3,2,1626,1814,0.896361632
2020-05,A DIVISION,4,1,6980,7400,0.943243243
2020-05,A DIVISION,4,2,2584,2922,0.884325804
2020-05,A DIVISION,5,1,3833,4266,0.898499766
2020-05,A DIVISION,5,2,2186,2305,0.948373102
2020-05,A DIVISION,6,1,5893,6300,0.935396825
2020-05,A DIVISION,6,2,2912,3082,0.944841012
2020-05,A DIVISION,7,1,6578,6669,0.986354776
2020-05,A DIVISION,7,2,4022,4236,0.949480642
2020-05,B DIVISION,A,1,5317,5718,0.929870584
2020-05,B DIVISION,A,2,2856,3086,0.925469864
2020-05,B DIVISION,C,1,3075,3244,0.947903822
2020-05,B DIVISION,C,2,1569,1710,0.91754386
2020-05,B DIVISION,D,1,4683,4984,0.939606742
2020-05,B DIVISION,D,2,2370,2532,0.936018957
2020-05,B DIVISION,E,2,2222,2304,0.964409722
2020-05,B DIVISION,E,1,4185,4320,0.96875
2020-05,B DIVISION,F,2,2123,2292,0.926265271
2020-05,B DIVISION,F,1,4022,4319,0.931234082
2020-05,B DIVISION,G,1,4123,4280,0.963317757
2020-05,B DIVISION,G,2,2366,2537,0.932597556
2020-05,B DIVISION,JZ,2,2371,2452,0.966965742
2020-05,B DIVISION,JZ,1,4539,4720,0.961652542
2020-05,B DIVISION,L,2,4943,5166,0.95683314
2020-05,B DIVISION,L,1,5247,5308,0.988507913
2020-05,B DIVISION,M,2,2482,2516,0.986486486
2020-05,B DIVISION,M,1,4305,4400,0.978409091
2020-05,B DIVISION,N,2,2001,2586,0.773781903
2020-05,B DIVISION,N,1,4526,5064,0.893759874
2020-05,B DIVISION,Q,2,2765,2984,0.926608579
2020-05,B DIVISION,Q,1,6047,6300,0.95984127
2020-05,B DIVISION,R,2,2234,2376,0.94023569
2020-05,B DIVISION,R,1,4109,4324,0.950277521
2020-05,B DIVISION,S Fkln,1,4694,4720,0.994491525
2020-05,B DIVISION,S Fkln,2,2301,2318,0.992666091
2020-05,B DIVISION,S Rock,1,2752,2798,0.983559685
2020-05,B DIVISION,S Rock,2,1614,1643,0.982349361
2020-05,Systemwide,Systemwide,2,52931,56921,0.929902848
2020-05,Systemwide,Systemwide,1,102302,107546,0.95123947
2020-04,A DIVISION,1,1,3851,4030,0.955583127
2020-04,A DIVISION,1,2,1024,1168,0.876712329
2020-04,A DIVISION,2,1,3236,3729,0.867792974
2020-04,A DIVISION,2,2,541,1048,0.516221374
2020-04,A DIVISION,3,1,2534,2756,0.919448476
2020-04,A DIVISION,3,2,452,652,0.693251534
2020-04,A DIVISION,4,1,3643,3930,0.92697201
2020-04,A DIVISION,4,2,849,1068,0.79494382
2020-04,A DIVISION,5,1,2507,2769,0.905381004
